Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak
"ANALISIS KENDALA PENERAPAN KURIKULUM 2013 DI
KELAS RENDAH SDN 2 TLOGOPATUT GRESIK",Penulis : Siti Aisah Aziz,"Priyono Tri F., S.Sos., M.Si.","Rika Wulandari, S.Pd., M.Si","Penelitian ini bertujuan untuk mengetahui kendala-kendala yang
dialami guru dan kepala sekolah dalam menerapkan kurikulum
2013 yang dilakukan di kelas rendah (kelas I dan II) SDN 2
Tlogopatut Gresik. Penelitian ini menggunakan pendekatan
kualitatif. Subyek penelitian ini adalah kepala sekolah, guru kelas
I-A, I-B, II-A dan II-B. Untuk pengumpulan data, penulis
menggunakan teknik observasi, wawancara dan dokumentasi.
Hasil penelitian ini adalah terdapat lima kendala yang dialami oleh
kepala sekolah dan guru dalam menerapkan kurikulum 2013 di
SDN 2 Tlogopatut. Kendala tersebut antara lain dalam hal
pengintegrasian pembelajaran tematik, penerapan pendekatan
saintifik, pengaplikasian penilaian autentik, ketersediaan sarana
dan prasarana sekolah serta ketersediaan sumber belajar. Penelitian
ini menunjukkan perlu adanya perbaikan terhadap sistem
penerapan kurikulum 2013 di sekolah dasar.
Kata Kunci: Kendala Kurikulum, Pembelajaran, Kurikulum 2013."
"Analisis Kemandirian Belajar Siswa Ditinjau Dari
Motivasi Orang Tua Dan Motivasi Guru di SDN Bancaran 1 Bangkalan.
",Penulis : NUR HASANAH ,"Priyono Tri Febrianto, S.Sos., M.Si","Rika Wulandari, S.Pd., M.Pd.","Penelitian ini bertujuan untuk mengetahui kemandirian belajar siswa 
ditinjau dari motivasi orang tua dan motivasi guru di SDN Bancaran 1 Bangkalan.
Penelitian ini menggunakan pendekatan kualitatif deskriptif. Subyek penelitian ini
adalah guru kelas IV, V dan VI, orang tua, dan siswa kelas IV, V dan VI.
Pengumpulan data dilakukan dengan teknik wawancara, observasi, angket dan
dokumentasi. Hasil penelitian ini menunjukkan kemandirian belajar siswa ditinjau
dari motivasi orang tua antara lain siswa rajin belajar, memiliki jadwal belajar
sendiri, belajar tanpa disuruh, yakin bisa mencapai target belajarnya,
memanfaatkan waktu untuk terus belajar, berusaha mencari sumber belajar yang
diperlukan, mengevaluasi hasil belajar dan merefleksi atas kegiatan belajar yang
dilakukan. Sedangkan, kemandirian belajar siswa ditinjau dari motivasi guru
antara lain siswa membuat catatan penting saat proses pembelajaran, tidak
mencontoh pekerjaan teman saat mengerjakan tugas, menyelesaikan tugas yang
diberikan guru tepat waktu, selalu fokus dalam pembelajaran, inisiatif bertanya
kepada guru saat mengalami kesulitan belajar, berani memberikan pendapat yang
berbeda dari temannya dalam pembelajaran, selalu aktif mengikuti pembelajaran,
bisa mengembangkan sendiri pelajaran yang telah diberikan sehingga
pengetahuan siswa luas untuk berpikir mandiri, membandingkan hasil belajar
yang diperoleh dengan target belajar direncanakan dan menentukan tujuan
belajarnya.  


Kata kunci: kemandirian belajar siswa, motivasi orang tua, motivasi guru
"
"Analisis Pendidikan Kewirausahaan dalam Menumbuhkan
Sikap Kreatif dan Inovatif di Sekolah Kreatif SD Muhammadiyah 16 Surabaya. ",Penulis : Khoirotun Zannah,"Priyono Tri Febrianto, S.Sos., M.Si.","Rika Wulandari, S.Pd, M.Pd.","Penelitian ini bertujuan untuk mendeskripsikan proses perencanaan,
pelaksanaan , dan untuk mengetahui kendala apa saja yang dihadapi dan solusi yang telah
dilakukan saat pelaksanaan pendidikan kewirausahaan dalam menumbuhkan sikap kreatif
dan inovatif di Kelas V  SD Muhammadiyah 16 Surabaya. Penelitian ini menggunakan
pendekatan kualitatif. Untuk pengumpulan data, penulis menggunakan teknik wawancara,
observasi, dan dokumentasi. Hasil penelitian ini adalah  (1) perencanaan pendidikan
kewirausahaan dilakukan dengan mengkaji program sekolah (market day, pameran karya
dan muatan lokal Bahasa Jawa) yang dapat diinternalisasikan dengan pendidikan
kewirausahaan, menentukan nilai-nilai kewirausahaan kreatif dan inovatif pada kegiatan
pameran karya dan membatik, menyusun jadwal dan teknis kegiatan, menyusun RPP
Muatan Lokal Bahasa Jawa dengan menambahkan nilai-nilai kewirausahaan pada materi,
langkah-langkah pembelajaran dan penilaian. (2) pelaksanaan pendidikan kewirausahaan
dilaksanakan melalui pameran karya dan membatik, sikap kreatif pada kegiatan pameran
karya dapat dilihat dari aspek fluency dan flexibility sedangkan sikap kreatif pada
kegiatan membatik dilihat dari aspek fluency, flexibility, originality, elaboration,
sensivity.sikap inovatif pada kegiatan pameran karya dan membatik dilakukan dengan
cara pengembangan. (3) kendala pada pelaksanaan pendidikan kewirausahaan yakni
waktu dan fasilitas sekolah. Upaya yang dilakukan dalam mengatasi kendala yakni
melanjutkan kegiatan yang belum selesai pada hari selanjutnya dan lebih mengontrol
peserta didik agar program dapat berjalan dengan baik. 
Kata kunci: pendidikan kewirausahaan, sikap kreatif, sikap inovatif."
"EFEKTIVITAS MODEL PEMBELAJARAN TERPADU TIPE NESTED DENGAN PEMANFAATAN BIOTEKNOLOGI TERHADAP KEMAMPUAN BERFIKIR KREATIF SISWA KELAS III 
SDN MLAJAH 2 BANGKALAN

",Penulis : DWI ALFIYANTI,"Mujtahidin, S.Pd., M.Pd","Isna Ida Mardiyana, S.Pd., M.Pd","ABSTRAK
Pembelajaran dikatakan efektif apabila pembelajaran tersebut mampu untuk mencapai indikator efektifitas pembelajaran dan tujuan pembelajaran yang sudah ditetapkan sebelumnya. Indikator efektifitas pembelajaran meliputi (1) ketuntasan hasil belajar siswa (kemampuan berfikir kreatif) secara klasikal, (2) aktivitas siswa yang baik selama kegiatan pembelajaran, aktivitas guru selama kegiatan pembelajaran baik, (4) respon siswa yang positif selama kegiatan pembelajaran. Penelitian ini bertujuan untuk mengetahui keefektifan model pembelajaran terpadu tipe nested dengan pemanfaatan bioteknologi terhadap kemampuan berfikir kreatif siswa kelas III SDN Mlajah 2 Bangkalan. Penelitian ini merupakan penelitian kuantitatif dengan metode eksperimen, desain penelitian yang digunakan adalah Pretest-Posttest Control Group Design.  Penentuan jumlah sampel dengan cara sampel sistematis untuk menentukan kelas eksperimen dan kelas kontrol. Hasil penelitian ini meliputi hasil belajar siswa (kemampuan berfikir kreatif siswa) yang tuntas secara klasikal dengan nilai 81% pada tes kemampuan befikir kreatif dan 92% pada penilaian unjuk kerja siswa. Aktivitas siswa selama dua pertemuan mempunyai rata-rata 33% dengan ketentuan baik. Aktivitas guru (keterlaksanaan pembelajaran) memiliki nilai rata-rata sebesar 3,7 dengan kriteria baik. Sedangkan respon yang diberikan siswa adalah respon positif dengan presentase sebesar 88%.
Kata Kunci : Efektifitas Pembelajaran, Model Pembelajaran Terpadu  
          Tipe Nested, Kemampuan Berfikir Kreatif 

"
"PENGEMBANGAN LAGU EDUKASI MATEMATIKA DALAM
PEMBELAJARAN MATEMATIKA DENGAN MENGGUNAKAN
METODE EDUTAINMENT DI KELAS V SDN KELEYAN 1 SOCAH",Penulis : PUTRI DIAH KUSUMA WARDANI,"Mohammad Edy Nurtamam, S.Pd., M.Si.","Fachrur Rozie, S.Pd., M.Pd.","Media pembelajaran merupakan alat bantu berupa fisik maupun
nonfisik yang sengaja digunakan sebagai perantara antara guru dan siswa
dalam memahami materi pelajaran agar lebih efektif dan efisien. Media yang
dikembangkan dalam penelitian ini adalah media audio tentang bangun
ruang. Penelitian ini bertujuan untuk mengembangkan lagu edukasi
matematika dengan metode edutainment yang layak digunakan dari segi
kevalidan lagu, kemenarikan, keefektifan, dan mudah digunakaan dalam
pelaksanaannya di SDN Keleyan 1 Socah. Penelitian ini menggunakan model
pengembangan Borg and Gall yang telah di adaptasi oleh Sugiyono. Hasil
peneltian ini menunjukkan bahwa: (1) hasil uji kevalidan media dari validator
yaitu ahli materi pembelajaran 98,67%, ahli media pembelajaran 94,67%, dan
ahli desain pembelajaran 90,67% dengan kategori sangat valid, (2) hasil uji
kemenarikan berdasarkan respon siswa pada ujicoba produk 96,67% dan
ujicoba pemakaian 97,50% dengan kategori sangat menarik, (3) hasil uji
keefektifan berdasarkan hasil observasi aktifitas guru dan pada ujicoba
produk dan pemakaian. Pada ujicoba produk, hasil observasi aktivitas guru
100% dan observasi aktivitas siswa 96,34%. Pada ujicoba pemakaian, hasil
observasi aktivitas guru 100% dan observasi aktifitas siswa 96,25% dengan
hasil ketuntasan klasikal siswa 96,88% dengan kategori sangat efektif, (4)
hasil uji kepraktisan berdasarkan respon guru sebesar 100% dengan kategori
sangat praktis. Kesimpulan penelitian ini adalah media pembelajaran Lagu
Edukasi Matematika sangat layak digunakan untuk materi bangun ruang
siswa kelas V di SDN Keleyan 1 Socah.
Kata Kunci : Media Pembelajaran Lagu Edukasi Matematika, Bangun Ruang,
Pembelajaran Matematika"
"PENGEMBANGAN MEDIA PEMBELAJARAN KIT KONDUKTOR DAN
ISOLATOR LISTRIK MATERI PERPINDAHAN DAN PERUBAHAN
ENERGI LISTRIK KELAS VI SDN GILI BARAT",Penulis : TATA NASIKHUDDIN,"Mohammad Edy Nurtamam, S.Pd., M.Si.","Umi Hanik, S.Pd., M.Pd","Pengembangan ini dilatarbelakangi oleh ketidak sesuaian antara materi yang diajarkan
guru tentang perpindahan dan perubahan energi listrik dengan media yang digunakan,
padahal minat belajar siswa sangat tinggi dalam pembelajaran IPA.Metode dan media
merupakan dua unsur yang sangat penting dalam pembelajaran.Pengembangan ini
bertujuan untuk mengetahui tingkat kelayakan, keefektifan, dan ketertarikan media KIT
konduktor dan isolator listrik. Model pengembangan yang digunakan adalah model dari
Sugiyono yang mengadaptasi dari model pengembangan Borg & Gall.Model ini terdiri dari
10 tahap namun dimodifikasi menjadi 7 tahap, yaitu: (1) identifikai masalah, (2)
pengumpulan informasi), (3) desain produk, (4) validasi desain, (5) ujicoba produk, (6)
ujicoba pemakaian, dan (7) produksi massal. Hasil yang diperoleh dari para ahli adalah
sebagai berikut: ahli media 77.5% pada tingkat layak, ahli bahasa 82.5% pada tingkat
sangat layak, ahli materi 85% pada tingkat sangat layak, dan ahlidesain pembelajaran 70%
pada tingkat layak. Hasil keefektifan media dalam pembelajaran pada ujicoba produk,
aktivitass siswa mencapai 89.79% pada tingkat sangat efektif, aktivitas guru mencapai
80.9% pada tingkat efektif, dan motivasi belajar siswa mencapai 93.13% pada tingkat
sangat efektif. Sedangkan pada ujicoba pemakaian, aktivitas siswa mencapai 84.20% pada
tingkat sangat efektif, aktivtas guru 80.9% pada tingkat efektif, dan motivasi belajar siswa
mencapai 82.1% pada tingkat sangat efektif. Persentase dari ujicoba produk atau ujicoba
kelompok kecil pada uji ketertarikan mencapai 90.63% pada tingkat sangat menarik dan
pada ujicoba pemakaian atau ujicoba kelompok besar mencapai 89.40% pada tingkat
sangat menarik.
Kata kunci: KIT konduktor dan isolator listrik, minat belajar IPA"
"ANALISIS TINGKAT KOMPETENSI LITERASI SAINS SISWA KELAS V
DI SEKOLAH DASAR KEPULAUAN
(Survey di SDN Se-Pulau Mandangin Kabupaten Sampang)",Penulis : MOHAMMAD QADARUSMAN,"Mujtahidin, S.Pd., M.Pd","Isna Ida Mardiyana, S.Pd., M.Pd","Penelitian ini dilakukan untuk mendeskripsikan kemampuan literasi sains siswa
domain kompetensi di SD Kepulauan. Pendekatan pada penelitian ini adalah pendekatan
secara kuantitatif dengan jenis penelitian yaitu deskriptif. Metode yang digunakan adalah
metode survey. Penelitian ini dilakukan di SDN Se-Pulau Mandangin dengan sampel siswa
kelas V yang ditetapkan secara Quota Sampling. Instrumen penelitian berupa tes literasi
sains domain kompetensi yang terdiri dari 10 butir soal pilihan ganda dan 2 soal uraian.
Analisis data menggunakan analisis deskrptif dengan perhitungan secara persentase. Hasil
penelitian menunjukkan bahwa tingkat literasi sains siswa pada domain kompetensi sebesar
34,24% dengan nilai pada masing-masing aspeknya adalah 33,86% pada aspek
mengidentifikasi bukti ilmiah, 33,03% untuk nilai aspek menjelaskan fenomena ilmiah,
dan 35,83% untuk nilai aspek menggunakan bukti-bukti ilmiah dalam proses sains. Hasil
ini menunjukkan kemampuan literasi sains domain kompetensi di SD kepulauan tergolong
sangat rendah.
Kata kunci: literasi sains, domain kompetensi, SD kepulauan, SDN Pulau Mandangin."
"DAMPAK PENERAPAN FULL DAY SCHOOL DALAM PERKEMBANGAN SOSIAL ANAK DI SD MUHAMMADIYAH 1
BANGKALAN
",Penulis : DEBY NURIYATULLAILI,"Priyono Tri Febrianto, S.Sos., M.Si.","Rika Wulandari, S.Pd., M.Pd.","
Penerapan full day school atau sekolah sehari penuh akan berdampak bagi siswa. Apalagi dalam hal sosialisasi dengan lingkungan sekitar. Karena waktu siswa banyak digunakan di sekolah, sehingga waktu untuk bersosialisasi dengan lingkungan keluarga dan lingkungan masyarakat (tetangga) menjadi berkurang. Dari pernytaan tersebut muncullah pertanyaan. Bagaimanakah dampak penerapan full day school dalam perkembangan sosial anak di SD Muhammadiyah 1 Bangkalan? Penelitian ini bertujuan untuk mengetahui dampak penerapan full day school dalam perkembangan sosial anak di SD Muhammadiyah 1 Bangkalan. Penelitian ini menggunakan penelitian pendekatan deskriptif kualitatif, metode wawancara, observasi dan dokumentasi. Adapun analisis data dalam penelitian ini menggunakan metode deskriptif kualitatif yang terdiri dari tiga bagian yaitu reduksi data, penyajian data dan penarikan data. Hasil penelitian ini menunjukkan adanya dampak positif dan dampak negatif dari penerapan full day school dalam perkembangan sosial anak di SD Muhammadiyah 1 Bangkalan. Dampak positif adalah siswa menjadi lebih religius, siswa menjadi lebih dekat dengan guru dan teman di lingkungan sekolah, dapat mengembangkan bakat yang dimiliki siswa. Dampak negatif adalah kurangnya waktu bersama dengan orang tua dan keluarga dan kurangnya waktu bermain dengan teman di lingkungan masyarakat (tetangga).

Kata Kunci: Dampak full day scool, perkembangan sosial anak
"
"Pengaruh Lingkungan Belajar, Sarana-Prasarana dan Media
Pembelajaran terhadap Prestasi Belajar Siswa SDN 1 Babaktulung",Penulis : Aviful Laela,"Mujtahidin, S. Pd., M. Pd.","Andika Adinanda Siswoyo, S. Pd., M. Pd.","Penelitian ini bertujuan untuk mendeskripsikan pengaruh antara 
lingkungan belajar, sarana-prasarana, dan media pembelajaran terhadap
prestasi belajar siswa. Penelitian dilakukan di SDN 1 Babaktulung
Kecamatan Sarang Kabupaten Rembang. Penelitian ini adalah
penelitian kuantitatif deskriptif. Pengumpulan data menggunakan
angket, observasi, dan dokumentasi. Sampel yang digunakan sebanyak
86 siswa. Data di analisis dengan regresi linier berganda. Hasil analisis
menunjukkan lingkungan belajar kondusif dengan persentase sebesar
79,1%, sarana-prasarana lengkap dengan persentase sebesar 95,3% dan 
media pembelajaran baik dengan persentase sebesar 76,7%. Hasil
analisis dengan uji regresi linier berganda menunjukkan bahwa uji F
menghasilkan F
hitung 
= 15,455 > F
= 2,716 sehingga Ho ditolak dan
Ha diterima dengan pengaruh sebesar 36,12%. Hasil uji t lingkungan
belajar terhadap prestasi belajar memperoleh hasil t
tabel 
xx 
hitung 
=2,352 > t
=
2,282 sehingga Ho ditolak dan Ha diterima dengan pengaruh sebesar
24,11%.  Uji t sarana-prasarana terhadap prestasi belajar memperoleh
hasil t
hitung 
= 2,442 > t
= 2,282 sehingga Ho ditolak dan Ha diterima
dengan pengaruh sebesar 21,25%. Uji t media pembelajaran terhadap
prestasi belajar memperoleh hasil t
tabel 
hitung
 = 2,666 > t
= 2,282 sehingga
Ho ditolak dan Ha diterima dengan pengaruh sebesar 21,72%.  

 
tabel 
Kata Kunci: Lingkungan Belajar, Sarana-Prasarana, Media Pembelajaran,  
Prestasi Belajar. "
Hubungan Program Jumat Infak dengan Karakter Peduli Sosial Siswa di SDN Gili Timur 1,Penulis : Furi Wahyu Lestari,"Priyono Tri Febrianto, S.sos., M.Si.","Mahmud, S.IP., M.Si.","Furi Wahyu Lestari. 2018. Hubungan Program Jumat Infak dengan Karakter Peduli Sosial Siswa di SDN Gili Timur 1. Skripsi, Program Studi Pendidikan Guru Sekolah Dasar, Fakultas Ilmu Pendidikan, Universitas Trunojoyo Madura. Pembimbing I Priyono Tri Febrianto, S.sos., M.Si. Pembimbing II Mahmud S.IP, M.Si.

ABSTRAK
Penelitian ini bertujuan untuk mengetahui hubungan Program Jumat Infak dengan karakter peduli sosial siswa. Penelitian ini dilakukan di SDN Gili Timur 1 Kamal Bangkalan. Penelitian ini adalah penelitian kuantitatif dengan analisis deskriptif. Instrumen yang digunakan adalah angket. Sampel dalam penelitian ini sebanyak 56 siswa yang terdiri dari kelas I sampai kelas VI. Data dianalisis menggunakan analisis Korelasi Product Moment. Hasil Analisis menunjukkan bahwa siswa mengikuti Program Jumat Infaq secara aktif dengan persentase sebesar 87,5 persen dan karakter peduli sosial yang dimiliki oleh siswa berada pada kategori kuat dengan persentase sebesar 90,2 persen. Hasil analisis dengan menggunakan analisis Korelasi Product Moment menunjukkan bahwa nilai uji t pengujian signifikansi t_hitung (9,600) > t_tabel (2,004) maka Ho ditolak dan Ha diterima yang berarti ada hubungan antara Program Jumat Infak dengan karakter peduli sosial siswa di SDN Gili Timur 1. Konstribusi yang diberikan oleh Program Jumat Infak kepada karakter peduli sosial siswa sebesar 63,1%.
Kata kunci: Program Jumat Infak, Karakter peduli sosial
"
"HUBUNGAN  ANTARA KECERDASAN INTRAPERSONAL DENGAN 
MOTIVASI BELAJAR SISWA PADA  MATA PELAJARAN PKn KELAS V
SDN TELANG 1 KAMAL 

",Penulis : MUSTOTIAH ,"Mujtahidin, S.Pd,. M.Pd.","Indah  Setyo Wardani., S.Pd., M.Pd.","Penelitian dilakukan untuk mengetahui hubungan antara kecerdasan intrapersonal dengan
motivasi belajar siswa. Pada penelitian ini pendekatan yang digunakan yaitu kuantitatif
deskripstif dengan jenis metode ex-post-facto. Subjek dari penelitian ini adalah siswa kelas V
SDN Telang 1 Kamal Bangkalan. Populasi jumlah siswa kelas V SDN Telang 1 Kamal
Bangkalan yaitu sebanyak 23 siswa yang nantinya akan dijadikan sampel dalam penelitian
ini. Instrumen yang digunakan untuk penelitian ini adalah angket. Sebelum penelitian
dilaksanakan, peneliti melakukan uji validitas dan uji reliabilitas untuk mengetahui kevalidan
dan kereliabelan instrumen yang nantinya akan digunakan dalam penelitian. Untuk teknik
analisis data yang digunakan yaitu uji normalitas dan uji korelasi person product moment
serta uji determinasi. Hasil uji korelasi person product moment menunjukkan bahwa terdapat
hubungan  antara  kecerdasan  intrapersonal  dengan  motivasi  belajar  siswa  kelas  V  SDN
Telang Kamal Bangkalan, hal itu dibuktikan dengan data   yang diperoleh yaitu rhitung   =
0,795  dengan  kata lain adanya  hubungan positif antara  kecerdasan intrapersonal dengan
motivasi belajar siswa. 
Kata Kunci: Kecerdasan Intrapersonal, Motivasi Bealajar "
"PROBLEMATIKA SEKOLAH  DASAR NEGERI BANYUAJUH 06 DALAM
MENERAPKAN KURIKULUM 2013 

",Penulis : Ria Rosida ,"Priyono Tri Febrianto, S.Sos., M.Si","Indah Setyo Wardhani, S.Pd., M.Pd","Tujuan dari penelitian ini adalah (1) Untuk mendeskripsikan problematika
Sekolah Dasar Negeri Banyuajuh 06 dalam menerapkan Kurikulum 2013,
(2) Untuk mendeskripsikan solusi alternatif yang telah dilakukan oleh
Sekolah Dasar Negeri Banyuajuh 06 dalam mengatasi problematika
penerapan Kurikulum 2013. Penelitian ini menggunakan pendekatan
kualitatif deskriptif. Informan dalam penelitian ini yaitu kepala sekolah,
guru yang telah menerapkan Kurikulum 2013 yaitu di kelas I, II, IV dan V,
serta beberapa siswa di kelas I, II, IV dan V. Teknik pengumpulan data yang
digunakan adalah teknik observasi, wawancara, dan dokumentasi. Data yang
diperoleh dilapangan kemudian direduksi dan ditriangulasikan kemudian
dilakukan analisis oleh peneliti. Berdasarkan hasil penelitian di lapangan
bahwa penerapan Kurikulum 2013  di SDN Banyuajuh 06 belum maksimal,
hal tersebut terlihat dari banyaknya problematika yang dimiliki oleh Sekolah
Dasar Negeri Banyuajuh 06 meliputi: (1) Kepala sekolah dalam
pembinaannya baik kepada guru maupun kepada siswa masih mengalami
kendala, (2) Guru dalam pelaksanaan pembelajarannya meliputi:
ketersediaan buku teks pembelajaran yang kurang, pengelolaan kelas yang
belum maksimal, serta masih kesulitan dalam pelaksanaan penilaian
autentik, (3) Siswa yang kurang disiplin dan kurangnya tanggung jawab
dalam hal belajar, (4) Sarana dan prasarana yang masih kurang di SDN
Banyuajuh 06 sehingga penerapan Kurikulum 2013 belum terlaksana
dengan maksimal. 
Kata Kunci : Problematika, Sekolah Dasar, Kurikulum 2013
"
"PERAN GURU DALAM MENGATASI SISWA YANG KURANG LANCAR
MEMBACA PADA MATA PELAJARAN BAHASA INDONESIA 
(Studi kasus pada siswa kelas I SDN di  Desa Banyuajuh) 

",Penulis : FIKA NUR ANDINI ,"Sulaiman, S.Pd., M. Pd.","Andika Adinanda Siswoyo, S.Pd., M.Pd.","Penelitian ini bertujuan untuk mengetahui Peran Guru Dalam Mengatasi Siswa Yang Kurang Lancar
Membaca pada Mata Pelajaran Bahasa Indonesia (Studi Kasus Kelas I SDN Di Desa Banyuajuh).
Penelitian ini menggunakan pendeketan kualitatif, menggunakan teknik pengumpul data, yaitu
wawancara terstruktur dan observasi. Analisis data pada penelitian ini menggunakan model Miles dan
Huberman. Hasil penelitian menunjukkan bahwa peran guru dalam mengatasi siswa yang kurang
lancar (1) sebagai pembimbing, memberikan bimbingan, perhatian, jam tambahan; (2)  sebagai
motivator, berupa konfirmasi tugas dan penghargaan, dorongan; (3) sebagai mediator berupa memiliki
keterampilan berkomunikasi dan membangun kedekatan hubungan dengan siswa dengan
menggunakan media pembelajaran. Meskipun demikian, masih terdapat beberapa kendala-kendala
yang ditemukan, diantaranya pada pelaksanaan kegiatan proses pembelajaran membaca yaitu
disebabkan oleh: (1) minat, (2) ekonomi dan sosial. Peran guru mengatasi siswa yang kurang lancar
membaca memberikan peran sebagai pembimbing, memberikan jam tambahan kepada siswa yang
kurang lancar membaca. Peran sebagai motivator memberikan motivasi bagi siswa yang mengalami
kurang lancar membaca. Peran guru sebagai mediator guru mempersiapkan bahan ajar dan sumber
bacaan ketika di sekolah.   

Kata Kunci: Peran guru, kurang lancar membaca,  
 "
"PERAN GURU DALAM PEMBENTUKAN SIKAP SOSIAL PADA ANAK
KORBAN KONFLIK 
(Studi Kasus Anak Korban Pengungsi Syiah Sampang Yang Bersekolah di
SDN Jemundo 1 Sidoarjo) 

 ",Penulis : KARLENIYAH FEBRIANI TRI ASTUTIK ,"Mujtahidin, S.Pd., M.Pd.","Mahmud. S.IP., M.Si.","Tujuan penelitian ini yaitu mendeskripsikan bagaimana peran yang dilakukan oleh guru
dalam pembentukan sikap sosial anak korban konflik di SDN Jemundo 1 Sidoarjo. Jenis
penelitian yang digunakan adalah kualitatif deskriptif, subjek penelitian ini adalah kepala
sekolah, guru kelas I, orang tua siswa, dan anak korban konflik. Teknik pengumpulan data
menggunakan wawancara dan observasi, dokumentasi. Peran yang dilakukan oleh guru
diantaranya yaitu sebagai pengelola kelas, teladan, dan orangtua kedua anak korban
konflik.Dalam menjalankan perannya sebagai pengelola kelas guru mengelola kelasnya
dan menjalankan kegiatan yang memungkinkan terjadinya interaksi antara anak korban
konflik tersebut dengan anak lainnya. Peran sebagai teladan guru mengajarkan bagaimana
cara bersikap yang baik dengan orang lain, bagaimana cara jujur, sopan santun, disiplin,
toleransi, gotong royong, dan percaya diri dalam kehidupan sehari-hari. Peran sebagai
orangtua kedua guru sebagai penghubung antara keluarga anak korban konflik dengan
sekolah, guru memberikan motivaasi pada orangtua korban konflik.  
Kata Kunci : Konflik, Sikap Sosial Anak Korban Konflik, Peran Guru
 "
"PENGEMBANGAN DIORAMA METAMORFOSIS KUPU-KUPU UNTUK 
PEMBELAJARAN IPA KELAS IV SDN BRANTA PASESER 1 
PAMEKASAN ",Penulis : Eni Sulistiawati,M. Edy Nurtamam,Fachrur Rozie,"Abstrak
Keberhasilan Kegiatan proses pembelajaran ditinjau dari perangkat pembelajaran yang digunakan. Salah satu Perangkat pembelajaran yang mendukung dalam proses pembelajaran yaitu media pembelajaran. SDN Branta Paseser 1 di kelas IV dalam proses pembelajarannya menggunakan media yaitu media 2 dimensi (media gambar), media yang digunakan tidak menarik perhatian siswa, sehingga seringkali siswa merasa bosan dengan pembelajaran IPA terutama materi siklus hidup hewan âMetamorfosis kupu-kupuâ. Berdasarkan permasalahan tersebut, peneliti berkeinginan untuk mengembangkan media yang layak, efektif, menarik dalam proses pembelajaran IPA dengan menggunakan model 4-D (Define, Design, Development, Disseminate). Penelitian ini bertujuan untuk Mengembangkan media Diorama yang layak dari segi kelayakan, kemenarikan, keefektifan dan keterlaksanaan pada siswa kelas IV SDN Branta Paseser 1 Tlanakan Pamekasan. Berdasarkan hasil penelitian diperoleh hasil bahwa persentase kelayakan media diorama metamorfosis kupu-kupu menurut Ahli media 95% sangat valid, Ahli materi 95% sangat valid dan Ahli Instrumen Pembelajaran 90,6% sangat valid. Kemenarikan media pembelajaran Diorama metamorfosis kupu-kupu memperoleh skor 89,2% dengan keterangan sangat menarik, sangat baik digunakan. Keefektifan pembelajaran dengan menggunakan media diorama metamorfosis kupu-kupu ditinjau dari segi aktivitas guru memperoleh persentase 92,9% sangat efektif, dan persentase aktivitas siswa memperoleh nilai 89,8% sangat efektif. Hasil belajar siswa dalam ketuntasan belajar klasikal diperoleh 80,6% dengan kriteria baik. Keterlaksanaan pembelajaran memperoleh nilai 95% dengan keterangan sangat terlaksana,sangat baik digunakan.
Kata Kunci: Media Pembelajaran IPA, Media Diorama, Model Pengembangan     4-D
"
"ANALISIS ASPEK LITERASI SAINS PADA BUKU TEKS PELAJARAN IPA DI SEKOLAH DASAR KELAS V
(Studi Deskriptif Analitis Terhadap Buku Teks Pelajaran IPA di Sekolah Dasar Kelas V)",Penulis : TISE KARISMA TRIYA HARDIANI,"Mujtahidin, S.Pd., M.Pd.","Isna Ida Mardiyana, S.Pd., M.Pd.","Penelitian ini bertujuan untuk memberikan informasi mengenai ruang lingkup aspek literasi sains pada buku teks pelajaran IPA kelas V yang digunakan di Sekolah Dasar. Jenis penelitian yang digunakan yaitu penelitian kualitatif deskriptif. Metode yang digunakan adalah metode dokumentasi. Objek penelitian adalah buku teks pelajaran IPA yang digunakan di tiga sekolah dasar inti. Sumber data diperoleh dari dua pokok bahasan pada masing-masing buku. Data dijaring dengan pedoman studi dokumen berisi indikator-indikator aspek literasi sains yang meliputi (1) pengetahuan sains, (2) penyelidikan sains, (3), sains sebagai cara berpikir, dan (4) interaksi sains, teknologi dan masyarakat. Analisis data dilakukan dengan cara statistik deskriptif dengan perhitungan persentase. Hasil penelitian menunjukkan bahwa ruang lingkup aspek literasi sains pada buku yang dianalisi khususnya pada materi bidang biologi yaitu 66,6% memuat aspek pengetahuan sains, 19,2% memuat aspek penyelidikan sains, 12,6% memuat aspek sains sebagai cara berpikir, dan 1,6% memuat aspek interaksi sains, teknologi, dan masyarakat. Hasil tersebut menunjukkan bahwa buku yang digunakan belum menunjukkan keseimbangan aspek literasi sains dimana aspek pengetahuan sains masih jauh lebih besar dari ketiga aspek yang lain.
Kata kunci: buku teks, literasi sains, SD"
